No.,SMILE,Alias,MW,R2,R3,R4,ALogP_86,PAMPA %R,PAMPA Papp  (x10-6cm/s),PAMPA Papp SD (x10-6cm/s),logDdec/w,logDoct/w
1,N21[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C2=O,Sub01-01,608.76988,LA01,Ala,LA04,0.117,91.57928335,0.073996715,0.008180696,-1.521099712,1.477146889
6,N21[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C2=O,Sub01-06,650.84962,LA01,Leu,LA04,1.348,86.70232954,2.814412775,0.23277643,0.159582914,2.447803361
14,N31[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub01-14,684.86584,LA01,Phe,LA04,1.673,77.03321246,3.945823687,0.343284427,0.524572842,2.610796129
27,N41[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub01-27,734.92452,LA01,Nal,LA04,2.581,,,,,2.875456793
41,N21[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C2=O,Sub02-01,622.79646,LA02,Ala,LA04,0.64,92.77026789,0.277088601,0.024793391,-0.954304632,1.960701838
46,N21[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C2=O,Sub02-06,664.8762,LA02,Leu,LA04,1.872,84.56949163,6.910378902,0.221354078,0.865350822,2.880643414
54,N31[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub02-14,698.89242,LA02,Phe,LA04,2.196,61.08058993,7.57030473,0.137091215,1.218076393,3.167706451
67,N41[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub02-27,748.9511,LA02,Nal,LA04,3.105,,,,,3.373251766
81,N21[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C2=O,Sub03-01,636.82304,LA03,Ala,LA04,0.96,93.59090174,0.840949912,0.067501488,-0.297500387,2.166170167
86,N21[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C2=O,Sub03-06,678.90278,LA03,Leu,LA04,2.191,59.61825731,9.772488017,0.841961045,1.344100153,2.546828054
94,N31[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub03-14,712.919,LA03,Phe,LA04,2.515,36.28910595,8.808053956,1.015866428,1.66385292,2.63899335
107,N41[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub03-27,762.97768,LA03,Nal,LA04,3.424,,,,,2.866255022
121,N21[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C2=O,Sub04-01,680.8756,LA13,Ala,LA04,0.426,93.34468974,0.476362927,0.029532462,-0.553976074,2.348623533
126,N21[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C2=O,Sub04-06,722.95534,LA13,Leu,LA04,1.657,70.54954116,8.853142274,0.595559523,1.155273434,
134,N31[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub04-14,756.97156,LA13,Phe,LA04,1.981,50.08615538,8.321319168,0.568082439,1.386424832,3.29854634
147,N41[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub04-27,807.03024,LA13,Nal,LA04,2.89,,,,,3.6007225
161,N31[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub05-01,693.87436,LA16,Ala,LA04,-0.406,,,,,
166,N31[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub05-06,735.9541,LA16,Leu,LA04,0.826,104.0397989,0.231477829,0.03919425,-0.84880836,2.121121704
174,N41[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub05-14,769.97032,LA16,Phe,LA04,1.15,100.1039496,0.415956666,0.084713796,-0.323888906,2.425759085
187,N51[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub05-27,820.029,LA16,Nal,LA04,2.059,,,,,2.982881468
201,N31[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub06-01,705.28432,LA20,Ala,LA04,2.016,66.43321411,5.605316025,0.414943916,1.01170779,3.121715685
206,N31[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub06-06,747.36406,LA20,Leu,LA04,3.247,12.70834837,4.555128899,0.494695164,2.50917891,3.301880633
214,N41[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub06-14,781.38028,LA20,Phe,LA04,3.572,13.57030848,1.140326876,0.228255615,2.714123626,3.380920061
227,N51[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub06-27,831.43896,LA20,Nal,LA04,4.48,,,,,2.21075334
241,N31[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub07-01,712.919,LA23,Ala,LA04,2.585,49.72806071,6.514987258,0.762588077,1.356473097,3.043817782
246,N31[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub07-06,754.99874,LA23,Leu,LA04,3.817,,,,,2.915929795
254,N41[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub07-14,789.01496,LA23,Phe,LA04,4.141,,,,,
267,N51[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub07-27,839.07364,LA23,Nal,LA04,5.049,,,,,3.144786366
281,N41[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub08-01,714.84876,LA24,Ala,LA04,1.119,79.77504488,1.170754616,0.08663115,0.003585595,2.717794292
286,N41[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub08-06,756.9285,LA24,Leu,LA04,2.351,27.05123601,9.105021304,1.280352045,1.548674374,3.109216253
294,N51[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](Cc4ccccc4)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub08-14,790.94472,LA24,Phe,LA04,2.675,15.25644599,4.317038584,0.677136055,1.900368301,3.152958478
307,N61[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](Cc4ccc5ccccc5c4)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub08-27,841.0034,LA24,Nal,LA04,3.584,,,,,3.192553832
321,N31[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub09-01,717.89576,LA27,Ala,LA04,1.541,83.53277183,2.994151836,0.300041119,0.768653977,2.845159403
326,N31[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub09-06,759.9755,LA27,Leu,LA04,2.773,14.09027563,7.769858832,1.217136626,2.409232729,2.851122803
334,N41[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub09-14,793.99172,LA27,Phe,LA04,3.097,7.472794605,4.210486732,0.646663031,2.620059215,2.82491265
347,N51[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCOC)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub09-27,844.0504,LA27,Nal,LA04,4.005,,,,,1.290516564
